"","word","freq"
"inop","inop",157
"jbpds","jbpds",33
"missing","missing",31
"rear","rear",31
"hatch","hatch",28
"broken","broken",27
"not","not",26
"collector","collector",24
"damaged","damaged",24
"assembly","assembly",23
"seal","seal",21
"transfer","transfer",21
"fluid","fluid",20
"service","service",20
"left","left",19
"for","for",18
"tire","tire",16
"rws","rws",16
"and","and",16
"hms","hms",16
"fts","fts",16
"cable","cable",15
"cbms","cbms",15
"item","item",14
"(m)","(m)",13
"power","power",13
"system","system",13
"afq-annual","afq-annual",13
"box","box",12
"m88","m88",11
"line","line",11
"afes","afes",10
"torn","torn",10
"worn","worn",10
"baws","baws",9
"deck","deck",9
"armor","armor",9
"hose","hose",9
"syst","syst",9
"chem","chem",9
"vial","vial",9
"does","does",8
"leak","leak",8
"low","low",8
"air","air",8
"engine","engine",8
"mount","mount",8
"handle","handle",8
"drain","drain",8
"right","right",8
"plate","plate",8
"cal","cal",8
"jslscad","jslscad",8
"light","light",7
"nitrogen","nitrogen",7
"hydraulic","hydraulic",7
"door","door",7
"probe","probe",7
"needs","needs",7
"will","will",7
"upper","upper",7
".50",".50",7
"bolt","bolt",7
"display","display",6
"needed","needed",6
"driver","driver",6
"cover","cover",6
"storm","storm",6
"filters","filters",6
"has","has",6
"r/s","r/s",5
"out","out",5
"maintenance","maintenance",5
"ctis","ctis",5
"dwss","dwss",5
"dagr","dagr",5
"block","block",5
"items","items",5
"mounting","mounting",5
"battery","battery",5
"steering","steering",5
"solenoid","solenoid",5
"fire","fire",5
"inhibit","inhibit",5
"lcs","lcs",5
"with","with",5
"replacement","replacement",5
"calibration","calibration",5
"front","front",4
"drivers","drivers",4
"surveyor","surveyor",4
"d/s","d/s",4
"spring","spring",4
"fcu","fcu",4
"canopy","canopy",4
"stryker","stryker",4
"ammo","ammo",4
"lock","lock",4
"udr-13","udr-13",4
"screw","screw",4
"pin","pin",4
"(r)","(r)",4
"clamshell","clamshell",4
"identifier","identifier",4
"pump","pump",4
"pol","pol",4
"transmission","transmission",4
"heater","heater",4
"ration","ration",4
"metsman","metsman",4
"grounding","grounding",4
"valves","valves",4
"generator","generator",4
"(pqdr)","(pqdr)",4
"seals","seals",4
"touchscreen","touchscreen",4
"vet","vet",4
"prob","prob",4
"zone","zone",4
"nut","nut",4
"soft","soft",4
"degraded","degraded",4
"firing","firing",4
"paint","paint",4
"damper","damper",4
"testing","testing",4
"sensor","sensor",4
"differential","differential",4
"washer","washer",4
"brake","brake",3
"knob","knob",3
"locking","locking",3
"psi","psi",3
"properly","properly",3
"2nd","2nd",3
"class","class",3
"screen","screen",3
"from","from",3
"middle","middle",3
"side","side",3
"safety","safety",3
"alternator","alternator",3
"window","window",3
"operate","operate",3
"bootle","bootle",3
"dryrotted","dryrotted",3
"port","port",3
"clamp","clamp",3
"ica","ica",3
"stack","stack",3
"tires","tires",3
"gunner","gunner",3
"pack","pack",3
"frayed","frayed",3
"water","water",3
"wire","wire",3
"hoses","hoses",3
"plugs","plugs",3
"ground","ground",3
"strap","strap",3
"spg","spg",3
"inlet","inlet",3
"printer","printer",3
"all","all",3
"dve","dve",3
"control","control",3
"wont","wont",3
"cracked","cracked",3
"seized","seized",3
"communicating","communicating",3
"jcr","jcr",3
"kgv-72","kgv-72",3
"worn.","worn.",3
"oil","oil",3
"minor","minor",3
"servayer","servayer",3
"keyboard","keyboard",3
"manifold","manifold",3
"valve","valve",3
"repair","repair",3
"corrosion","corrosion",3
"services","services",3
"assist","assist",3
"leaking","leaking",2
"mode","mode",2
"marker","marker",2
"test","test",2
"hardware","hardware",2
"lid","lid",2
"bent","bent",2
"bubbled","bubbled",2
"gear","gear",2
"guide","guide",2
"coolant","coolant",2
"found","found",2
"hub","hub",2
"l/s","l/s",2
"start","start",2
"belt","belt",2
"tred","tred",2
